scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,dataset,frames,duration_s,num_vrus,lighting,weather,location,env_risk,trajectory_risk,vru_risk,mean_ttc
0015197d-b916-43b6-bcaa-8a7d90d7b87d_27022_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 16, 'advisory': 47, 'silent': 1}",0.65625,0.734375,0.0,0.0,0.0,0.0,-0.5406548735632486,0.0,0.0,5.246325143903048,0.6349206349206349,0.31171875000000004,59.00413572470575,"{'advisory': 57, 'silent': 7}",argoverse,64,6.300000000000001,20,day,clear,pittsburgh,0.4553778079978575,0.6283523008074451,0.13100609770521987,1.4607236674759136
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7637_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 20, 'silent': 31}",0.6274509803921569,0.39215686274509803,0.0,0.0,0.0,0.0,-0.24019223070763068,0.0,0.0,13.0779597103601,0.4,0.006862745098039216,72.93675339787745,"{'advisory': 1, 'silent': 50}",argoverse,51,5.0,8,day,clear,pittsburgh,0.4553778079978576,0.26573653078248266,0.02920127862445888,2.450864473711785
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7719_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 23, 'silent': 31}",0.5925925925925926,0.42592592592592593,0.0,0.0,0.0,0.0,-0.23354968324845687,0.0,0.0,13.0779597103601,0.37735849056603776,0.006481481481481481,72.842542776832,"{'advisory': 1, 'silent': 53}",argoverse,54,5.3,8,day,clear,pittsburgh,0.4553778079978575,0.2691196941149072,0.028958469326882792,2.439055782337125
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7791_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 27, 'silent': 66}",0.7204301075268817,0.2903225806451613,0.0,0.0,0.0,0.0,-0.17864740025262407,0.0,0.0,13.0779597103601,0.2173913043478261,0.0037634408602150535,74.29116596281156,"{'advisory': 1, 'silent': 92}",argoverse,93,9.2,8,day,clear,pittsburgh,0.4553778079978575,0.2307669370637009,0.019023786845436895,2.9611099256726883
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7834_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 27, 'silent': 39}",0.6060606060606061,0.4090909090909091,0.0,0.0,0.0,0.0,-0.21160368475757946,0.0,0.0,13.0779597103601,0.3076923076923077,0.0053030303030303025,72.91726906403416,"{'advisory': 1, 'silent': 65}",argoverse,66,6.5,8,day,clear,pittsburgh,0.4553778079978575,0.2694777290806787,0.026109558121039107,2.471713324436006
001d7c9e-4f80-4d1d-9ad9-5b6432c4fb36_7174_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 20, 'advisory': 44}",0.359375,0.6875,0.0,0.0,0.0,0.0,-0.8133501469468493,0.0,0.0,5.948764733383713,0.47619047619047616,0.23515625,61.89078955046504,"{'advisory': 43, 'silent': 21}",argoverse,64,6.300000000000001,12,day,clear,miami,0.4553778079978576,0.6030828626031141,0.06005374171757451,1.373797198004758
001e7a56-f046-4f05-bd8f-ddf320079eae_128636_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 50},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46465415725576,0.0,0.0,77.0881355626708,{'silent': 50},argoverse,50,4.9,24,day,clear,austin,0.4553778079978576,0.003045731664989117,0.15351267224884071,749.5936877241329
001e7a56-f046-4f05-bd8f-ddf320079eae_128706_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 76},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.504280071130132,0.0,0.0,77.21061345642076,{'silent': 76},argoverse,76,7.5,24,day,clear,austin,0.4553778079978575,0.00011509726109841222,0.1523607101943993,752.6042016119656
00230ccd-4922-4f8c-b67f-ba70d0db22d3_80443_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 75, 'silent': 22}",0.6804123711340206,0.7731958762886598,0.0,0.0,0.0,0.0,-0.862335461974974,0.0,0.0,10.309420059594347,0.7291666666666667,0.15876288659793814,69.1872288934757,"{'advisory': 44, 'silent': 53}",argoverse,97,9.6,6,day,clear,dearborn,0.4666227184390222,0.3725278436615736,0.03240090197054041,2.105208854097889
00230ccd-4922-4f8c-b67f-ba70d0db22d3_80484_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 75, 'silent': 19}",0.6702127659574468,0.7978723404255319,0.0,0.0,0.0,0.0,-0.8643083144797218,0.0,0.0,10.309420059594347,0.7526881720430108,0.16382978723404257,68.9309127286903,"{'advisory': 44, 'silent': 50}",argoverse,94,9.3,6,day,clear,dearborn,0.4666227184390222,0.38003849351762287,0.03343412427400461,2.038745804267268
002ba35d-be70-4ce4-b15a-01a28e0ae801_124980_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 15, 'advisory': 25, 'silent': 35}",0.68,0.3333333333333333,0.0,0.0,0.0,0.0,-0.852992389807612,0.0,0.0,4.417922314372978,0.5405405405405405,0.14466666666666667,65.80964596881049,"{'advisory': 31, 'silent': 44}",argoverse,75,7.4,17,day,clear,austin,0.4553778079978575,0.43762078540555127,0.09488727163695611,3.245923342849679
002ba35d-be70-4ce4-b15a-01a28e0ae801_124999_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 15, 'advisory': 25, 'silent': 60}",0.76,0.25,0.0,0.0,0.0,0.0,-0.8011018514631217,0.0,0.0,4.417922314372978,0.40404040404040403,0.1085,69.73892528417142,"{'advisory': 31, 'silent': 69}",argoverse,100,9.9,17,day,clear,austin,0.4553778079978576,0.3283325846660251,0.07319949519778443,5.810789728089309
002ba35d-be70-4ce4-b15a-01a28e0ae801_125007_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 9, 'advisory': 14, 'silent': 63}",0.813953488372093,0.16279069767441862,0.0,0.0,0.0,0.0,-0.674063094054803,0.0,0.0,4.417922314372978,0.11764705882352941,0.06511627906976741,73.00835275095139,"{'advisory': 16, 'silent': 70}",argoverse,86,8.5,17,day,clear,austin,0.4553778079978576,0.24463006416592806,0.0479211001385488,7.275608367476931
002ba35d-be70-4ce4-b15a-01a28e0ae801_125055_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 15, 'advisory': 25, 'silent': 60}",0.76,0.25,0.0,0.0,0.0,0.0,-0.8011018514631217,0.0,0.0,4.417922314372978,0.40404040404040403,0.10849999999999999,69.83185740363545,"{'advisory': 31, 'silent': 69}",argoverse,100,9.9,17,day,clear,austin,0.4553778079978575,0.3257014602865319,0.07273288226180925,5.954176059074532
003363ad-fa78-45f9-a8d7-716f4ea6d586_28550_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 12, 'advisory': 44, 'silent': 37, 'emergency': 7}",0.54,0.44,0.0,0.0,0.0,0.0,-0.831425959970394,0.0,0.0,3.808646403469341,0.30303030303030304,0.12599999999999997,66.89785503904908,"{'advisory': 36, 'silent': 64}",argoverse,100,9.9,3,day,clear,pittsburgh,0.4665456582408972,0.43997676115782286,0.041367193219345004,2.466641909689803
003a8853-461a-4fa4-9a04-be07aae9b70c_128459_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 82},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.13046621791784,0.0,0.0,81.79339053389202,{'silent': 82},argoverse,82,8.1,1,day,clear,palo-alto,0.43792338783161533,0.0018095801381482776,0.02117955162329663,1545.1647639038697
00404e6d-ff66-460e-8f22-bc61fc9f7f9d_93148_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 15, 'advisory': 37, 'silent': 23, 'emergency': 7}",0.4146341463414634,0.45121951219512196,0.0,0.0,0.0,0.0,-0.8494426868125855,0.0,0.0,3.825459400950778,0.24691358024691354,0.14085365853658535,65.50734579839093,"{'advisory': 33, 'silent': 49}",argoverse,82,8.100000000000001,5,day,clear,washington-dc,0.4461533597185226,0.4935004714512885,0.06138352231098404,2.3868891190341954
