scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,condition,dataset
scene-0553_18cdcf0d2340409b95140ea38a70fd2e_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 20},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.913043448354689,0.0,0.0,76.3379824722539,{'silent': 20},clean,nuscenes
scene-0553_2397a588f42e4195bf7fb0148aa7a3d6_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 19},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.913043448354689,0.0,0.0,76.78309534779483,{'silent': 19},clean,nuscenes
scene-0655_433e28f80ae9462eb927089896b5f669_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'intervention': 2, 'silent': 9}",0.85,0.45,0.0,0.0,0.0,0.0,-0.8671099695241199,0.0,0.0,9.303399999255339,0.947470648148879,0.175,68.75574353625338,"{'advisory': 10, 'silent': 10}",clean,nuscenes
scene-0655_fe199544817e496aa7708a1db0af2108_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'intervention': 2, 'silent': 9}",0.85,0.45,0.0,0.0,0.0,0.0,-0.8671099695241199,0.0,0.0,9.303399999255339,0.947470648148879,0.175,68.75574353625338,"{'advisory': 10, 'silent': 10}",clean,nuscenes
scene-0655_99d539b687cb4a46b8f1efc7204aa160_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 12, 'intervention': 2, 'silent': 6}",0.75,0.6,0.0,0.0,0.0,0.0,-0.8627635262664035,0.0,0.0,9.303399999255339,1.2562470811884223,0.19249999999999998,67.66422183757214,"{'advisory': 11, 'silent': 9}",clean,nuscenes
scene-0757_4b086f653d5a47a79f73f1d4a4d956d8_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 11},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.367333636732997,0.0,0.0,80.34303066735096,{'silent': 11},clean,nuscenes
scene-0757_3c16d6997c70488ab7e9dfd0fbec962e_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 11},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.367333636732997,0.0,0.0,80.34303066735096,{'silent': 11},clean,nuscenes
scene-0796_a9ba2ffc5a95458c9bd1052be9bc24ad_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 6, 'silent': 2, 'intervention': 4, 'emergency': 1}",0.3076923076923077,0.46153846153846156,0.0,0.0,0.0,0.0,-0.8660254037844387,0.0,0.0,5.527536801495883,0.4917840910469395,0.18846153846153843,60.911072538707224,"{'advisory': 7, 'silent': 6}",clean,nuscenes
scene-0916_4591a9f392774001a2cf523286505ac9_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 10, 'intervention': 1, 'silent': 9}",0.9,0.5,0.0,0.0,0.0,0.0,-0.8671099695241199,0.0,0.0,5.928808108233976,0.42110866119449997,0.175,68.24744939600309,"{'advisory': 10, 'silent': 10}",clean,nuscenes
scene-0916_c8fcea5cd6d344e69a92241622f58be7_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 10, 'intervention': 1, 'silent': 9}",0.9,0.5,0.0,0.0,0.0,0.0,-0.8671099695241199,0.0,0.0,5.928808108233976,0.42559222221702053,0.175,67.97909029134769,"{'advisory': 10, 'silent': 10}",clean,nuscenes
